plate	sample	acquisition	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
157006	833	1	.	.	.	.	3287.3303787171762	1349.6873956867782	.	.	.	.	4025.9124841223634	1764.9708735046665	.	.	.	.	3615.4504047565647	1163.6208550271499	.	.	3786.7633428617437	26.614462926326045	.	.	.	.	.	.	5112.2889351788917	757.42154467201215
157006	833	2	.	.	.	.	3287.1070204846428	1618.6815103828742	.	.	.	.	4026.4552694269869	722.43445151258129	.	.	.	.	3615.5763705252198	1253.1915343277676	.	.	3786.3507221510699	25.11405972145544	.	.	.	.	.	.	5112.2452598825785	800.34720125621118
157006	Calibrant	1	.	.	.	.	.	.	1759.9157258998632	79.030602538021569	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157006	Calibrant	2	.	.	.	.	.	.	1759.9378609352557	83.431842026774149	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157006	NC	1	.	.	.	.	3286.8485702694197	996.9485857024963	.	.	.	.	4025.9944873782911	1101.8156690967389	.	.	.	.	3615.4645616340858	1354.6418843043627	.	.	3786.8847804739903	30.351549199050368	.	.	.	.	.	.	5112.2284907943931	837.26373473152182
157006	NC	2	.	.	.	.	3287.3822666060978	1991.9825902522216	.	.	.	.	4026.1877402357391	419.92787468002899	.	.	.	.	3615.8717942733297	1445.4059714493424	.	.	3786.837711356372	34.518718750224259	.	.	.	.	.	.	5111.928186328435	836.75206395350529
157006	PC	1	998.85873598306989	560.98885204435146	2306.8272908918025	1310.9480562679032	3287.0232937523824	721.58977654440469	1760.7226250868371	370.55349963818435	2284.3774361128694	1183.0789405239848	4025.7460178677225	1285.8403588628526	1133.4889593144017	31.170589620598367	2501.6493516967239	238.29885444357191	3615.6430887250572	1077.4700226365023	1346.7826768620807	359.56604128947453	3786.8567505286833	27.755853784613084	.	.	.	.	.	.	5112.3083086751167	487.25550652734029
157006	PC	2	998.80265344051645	394.27555075896271	2306.9761364470187	1911.331609431531	3286.9756528541297	755.31923854615775	1760.6408730975334	346.12459985782982	2284.498968989531	1424.3223702911805	4026.0024107391796	1500.7849389746059	1133.3520403056511	51.827862601532757	2501.6485671866112	206.65905551955373	3615.9045144315533	516.0132164580026	1346.6725905682786	278.05066269424429	3787.0219541760762	28.756088413351943	.	.	.	.	.	.	5112.3450170696997	457.05347542637793
