plate	sample	acquisition	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
157016	833-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	833-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.8291346862397	667.93356423095997
157016	833-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	Calibrant	1	.	.	.	.	.	.	1760.1841725057604	80.809179581046052	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	Calibrant	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	NC-A	1	.	.	.	.	3287.379295524629	2028.9442550866167	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	NC-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	NC-B	1	.	.	.	.	.	.	.	.	.	.	4026.4062231717417	1409.9532190626303	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	NC-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	NC-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3615.9885317572471	1272.7520182524065	.	.	3787.0754417142257	35.391884201159733	.	.	.	.	.	.	.	.
157016	NC-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	NC-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.2480432419416	739.4816832564029
157016	NC-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PC-A	1	999.20383345770563	462.54625111246418	2307.6690957486967	1097.2578432361206	3287.8693082821092	763.27547739043075	.	.	.	.	.	.	.	.	2496.3033805916166	16.310125375825042	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	PC-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
