plate	sample	acquisition	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
164243	502-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.0030323498681	429.68210779209932	.	.	3789.1150387190128	24.625744138110544	.	.	.	.	.	.	.	.
164243	502-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5114.8395899228608	310.74357886302221
164243	502-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-A	1	.	.	.	.	3288.5460970928161	1211.2545472892045	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-B	1	.	.	.	.	.	.	.	.	.	.	4026.7798760689261	483.5551041061259	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3615.5721442784043	212.41788720232805	.	.	3788.6953780211147	25.883642620066979	.	.	.	.	.	.	.	.
164243	559-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5111.1348507866514	246.47613035930613
164243	559-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-A	1	.	.	.	.	3289.9591981086446	1019.10025056018	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-B	1	.	.	.	.	.	.	.	.	.	.	4029.6104285380788	470.49354698511718	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.621165008763	222.83386414617601	.	.	3791.1648665413641	22.821159339239781	.	.	.	.	.	.	.	.
164243	628-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5115.4074854065984	526.89550245889541
164243	628-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	688-A	1	.	.	.	.	3290.0590088522185	1038.0120991278388	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	688-B	1	.	.	.	.	.	.	1762.5769827172296	85.851612728803346	.	.	4029.8409655726759	585.39950834731746	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	688-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	688-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.7637133133003	544.41041711898197	.	.	3790.0916834530235	25.305619541720915	.	.	.	.	.	.	.	.
164243	688-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	688-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5116.4153118700197	480.22956859729004
164243	688-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	787-A	1	.	.	.	.	3288.5522709879683	489.12338771582574	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	787-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	787-B	1	.	.	2307.7981637344969	10.399569015273348	.	.	1761.5788849572691	76.282671210851774	2285.7581058335586	308.71188546389891	4028.0539066831616	406.80937406366007	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	787-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	787-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3617.2643479964013	663.81717601922492	.	.	3788.4526082231214	24.548703434481165	.	.	.	.	.	.	.	.
164243	787-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	787-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5114.1572590237556	349.67466982569681
164243	787-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	980-A	1	.	.	.	.	3289.8747974469543	1083.6502091076466	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	980-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	980-B	1	.	.	.	.	.	.	.	.	.	.	4029.0774081523609	306.67262943865626	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	980-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	980-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.3606279764381	560.24876133508894	.	.	3788.8513174515047	14.61992001714145	.	.	.	.	.	.	.	.
164243	980-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	980-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5115.5051929952242	382.35751934231195
164243	980-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	Calibrant	1	.	.	.	.	.	.	1761.5286618263942	63.812766135011962	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	Calibrant	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	NC-A	1	.	.	.	.	3290.467917958701	1887.0186478299165	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	NC-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	NC-B	1	.	.	.	.	.	.	.	.	.	.	4029.8922413541482	367.89394314250848	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	NC-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	NC-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.792730789246	1327.8791773949245	.	.	3790.0374894913757	20.967313914949827	.	.	.	.	.	.	.	.
164243	NC-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	NC-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5116.26470496411	439.14450049889484
164243	NC-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	PC-A	1	999.34349453735831	347.58622031415592	2309.1700206599476	738.58928487613025	3289.6648216361459	651.54054487243855	.	.	.	.	.	.	.	.	2497.5238630201829	11.523074230492863	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	PC-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	PC-B	1	.	.	2308.572882635825	55.153481002297383	.	.	1762.2011325052595	265.73280041604005	2286.4776021831794	637.17582670646186	4029.3732154035224	765.87923987321426	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	PC-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	PC-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.8153347926091	469.59452054758168	.	.	3789.8682590660401	23.021413152617818	.	.	.	.	.	.	.	.
164243	PC-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	PC-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	1347.3141126702797	155.5532711902795	3787.2825919207471	194.3167201086751	.	.	.	.	.	.	5116.0907151249821	198.2951410877528
164243	PC-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
